# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = ./output/mock_0.206mJy_g018_flux_170919.fits
# RMS image = ../g018/g018_crop_rms_sqaure_small.fits
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (200 , 200) pixels
# Image projection = NCP
# Total non-blank pixels = 40000
# Pixel dimensions (RA , Dec) = (5.596e-01 , 1.122e+00) arcsec
# Resolution (bmaj , bmin) = (1.151e+01 , 3.818e+00) arcsec, PA = 4.176e+00 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.600e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         37         69        145   352.279967913   -30.574242710   3.43e-05   1.01e-04          69.00         145.00   352.279967913   -30.574242710          1          69.00         145.00   352.279968365   -30.574242772          1         65         73        143        147   9.27e-06   1.00e+00     0.03   2.223e+01   2.223e+01   2.223e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.445512e-05   3.927383e-05   3.927383e-05   4.246419e-05   4.246419e-05   9.507588e-06     0.22  -1.000e+00
       2         37         55         81   352.282580428   -30.593969445   3.52e-05   1.03e-04          55.00          81.00   352.282580428   -30.593969445          1          55.00          81.00   352.282580829   -30.593969024          1         51         59         79         83   9.52e-06   1.00e+00     0.03   2.165e+01   2.165e+01   2.165e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.461640e-05   3.927383e-05   3.927383e-05   4.257188e-05   4.257188e-05   9.752212e-06     0.22  -1.000e+00
       3         37         68         78   352.280236873   -30.594924108   3.57e-05   1.05e-04          68.00          78.00   352.280236873   -30.594924108          1          68.00          78.00   352.280237330   -30.594923660          1         64         72         76         80   9.64e-06   1.00e+00     0.03   2.138e+01   2.138e+01   2.138e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.469353e-05   3.927383e-05   3.927383e-05   4.262318e-05   4.262318e-05   9.867995e-06     0.22  -1.000e+00
       4         37        143        146   352.266606556   -30.574094740   3.67e-05   1.08e-04         143.00         146.00   352.266606556   -30.574094740          1         143.00         146.00   352.266607334   -30.574094808          1        139        147        144        148   9.91e-06   1.00e+00     0.03   2.079e+01   2.079e+01   2.079e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.487358e-05   3.927383e-05   3.927383e-05   4.274251e-05   4.274251e-05   1.013540e-05     0.22  -1.000e+00
       5         37         84         65   352.277364635   -30.598971103   3.68e-05   1.08e-04          84.00          65.00   352.277364635   -30.598971103          1          84.00          65.00   352.277365164   -30.598970549          1         80         88         63         67   9.95e-06   1.00e+00     0.03   2.070e+01   2.070e+01   2.070e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.490212e-05   3.927383e-05   3.927383e-05   4.276137e-05   4.276137e-05   1.017743e-05     0.23  -1.000e+00
       6         37         62         43   352.281366677   -30.605710688   3.79e-05   1.11e-04          62.00          43.00   352.281366677   -30.605710688          1          62.00          43.00   352.281367116   -30.605709960          1         58         66         41         45   1.02e-05   1.00e+00     0.03   2.011e+01   2.011e+01   2.011e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.509889e-05   3.927383e-05   3.927383e-05   4.289110e-05   4.289110e-05   1.046477e-05     0.23  -1.000e+00
       7         37        156         92   352.264328045   -30.590793899   3.81e-05   1.12e-04         156.00          92.00   352.264328045   -30.590793899          1         156.00          92.00   352.264328883   -30.590793548          1        152        160         90         94   1.03e-05   1.00e+00     0.03   2.001e+01   2.001e+01   2.001e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.513283e-05   3.927383e-05   3.927383e-05   4.291342e-05   4.291342e-05   1.051390e-05     0.23  -1.000e+00
       8         37        114         51   352.271965119   -30.603356311   3.88e-05   1.14e-04         114.00          51.00   352.271965119   -30.603356311          1         114.00          51.00   352.271965780   -30.603355641          1        110        118         49         53   1.05e-05   1.00e+00     0.03   1.963e+01   1.963e+01   1.963e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.527176e-05   3.927383e-05   3.927383e-05   4.300464e-05   4.300464e-05   1.071381e-05     0.23  -1.000e+00
       9         37        126         50   352.269799257   -30.603690755   3.94e-05   1.16e-04         126.00          50.00   352.269799257   -30.603690755          1         126.00          50.00   352.269799968   -30.603690076          1        122        130         48         52   1.06e-05   1.00e+00     0.03   1.935e+01   1.935e+01   1.935e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.537564e-05   3.927383e-05   3.927383e-05   4.307273e-05   4.307273e-05   1.086205e-05     0.23  -1.000e+00
      10         37        104         19   352.273812664   -30.613206459   4.17e-05   1.22e-04         104.00          19.00   352.273812664   -30.613206459          1         104.00          19.00   352.273813281   -30.613205542          1        100        108         17         21   1.13e-05   1.00e+00     0.03   1.828e+01   1.828e+01   1.828e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.581327e-05   3.927383e-05   3.927383e-05   4.335859e-05   4.335859e-05   1.147584e-05     0.24  -1.000e+00
      11         89         94        131   352.275472640   -30.578620624   9.19e-05   2.71e-04          94.65         131.79   352.275353953   -30.578379198          1          94.58         131.82   352.275367029   -30.578369412          1         90         98        125        138   9.43e-06   1.00e+00     0.41   8.180e+00   8.265e+00   8.265e+00   7.717400e-05   7.797764e-05   7.797764e-05   7.797764e-05   7.797764e-05   1.032683e-05   4.799286e-05   4.799286e-05   6.315863e-05   6.315863e-05   9.948993e-06     0.97  -1.000e+00
